squadra,avversario,home/away,punti,numero della giornata,punti cumulativi,punti avversario,punti cumulativi before match,punti avversario before match,differenza punti before match
Chelsea,Stoke,away,3,57,14,4,11,4,7
Portsmouth,Tottenham,home,3,58,9,2,6,2,4
Tottenham,Portsmouth,away,0,58,2,9,2,6,-4
Wigan,Man City,home,3,59,8,9,5,9,-4
Man City,Wigan,away,0,59,9,8,9,5,4
Blackburn,Man United,home,0,60,10,11,10,8,2
Man United,Blackburn,away,3,60,11,10,8,10,-2
Sunderland,Arsenal,home,1,61,8,13,7,12,-5
Arsenal,Sunderland,away,1,61,13,8,12,7,5
West Brom,Fulham,home,3,62,10,6,7,6,1
Fulham,West Brom,away,0,62,6,10,6,7,-1
Wigan,Middlesbrough,home,0,63,8,9,8,6,2
Middlesbrough,Wigan,away,3,63,9,8,6,8,-2
Chelsea,Aston Villa,home,3,64,17,13,14,13,1
Aston Villa,Chelsea,away,0,64,13,17,13,14,-1
Everton,Newcastle,home,1,65,8,5,7,4,3
Newcastle,Everton,away,1,65,5,8,4,7,-3
Man City,Liverpool,home,0,66,9,17,9,14,-5
Liverpool,Man City,away,3,66,17,9,14,9,5
Portsmouth,Stoke,home,3,67,12,4,9,4,5
Stoke,Portsmouth,away,0,67,4,12,4,9,-5
Tottenham,Hull,home,0,68,2,14,2,11,-9
Hull,Tottenham,away,3,68,14,2,11,2,9
West Ham,Bolton,home,0,69,12,7,12,4,8
Bolton,West Ham,away,3,69,7,12,4,12,-8
Arsenal,Everton,home,3,70,16,8,13,8,5
Everton,Arsenal,away,0,70,8,16,8,13,-5
Aston Villa,Portsmouth,home,1,71,14,13,13,12,1
Portsmouth,Aston Villa,away,1,71,13,14,12,13,-1
Bolton,Blackburn,home,1,72,8,11,7,10,-3
Blackburn,Bolton,away,1,72,11,8,10,7,3
Fulham,Sunderland,home,1,73,7,9,6,8,-2
Sunderland,Fulham,away,1,73,9,7,8,6,2
Liverpool,Wigan,home,3,74,20,8,17,8,9
Wigan,Liverpool,away,0,74,8,20,8,17,-9
Man United,West Brom,home,3,75,14,10,11,10,1
West Brom,Man United,away,0,75,10,14,10,11,-1
Middlesbrough,Chelsea,home,0,76,9,20,9,17,-8
Chelsea,Middlesbrough,away,3,76,20,9,17,9,8
Hull,West Ham,home,3,77,17,12,14,12,2
West Ham,Hull,away,0,77,12,17,12,14,-2
Stoke,Tottenham,home,3,78,7,2,4,2,2
Tottenham,Stoke,away,0,78,2,7,2,4,-2
Newcastle,Man City,home,1,79,6,10,5,9,-4
Man City,Newcastle,away,1,79,10,6,9,5,4
Blackburn,Middlesbrough,home,1,80,12,10,11,9,2
Middlesbrough,Blackburn,away,1,80,10,12,9,11,-2
Everton,Man United,home,1,81,9,15,8,14,-6
Man United,Everton,away,1,81,15,9,14,8,6
Sunderland,Newcastle,home,3,82,12,6,9,6,3
Newcastle,Sunderland,away,0,82,6,12,6,9,-3
West Brom,Hull,home,0,83,10,20,10,17,-7
Hull,West Brom,away,3,83,20,10,17,10,7
Chelsea,Liverpool,home,0,84,20,23,20,20,0
Liverpool,Chelsea,away,3,84,23,20,20,20,0
Man City,Stoke,home,3,85,13,7,10,7,3
Stoke,Man City,away,0,85,7,13,7,10,-3
Portsmouth,Fulham,home,1,86,14,8,13,7,6
Fulham,Portsmouth,away,1,86,8,14,7,13,-6
Tottenham,Bolton,home,3,87,5,8,2,8,-6
Bolton,Tottenham,away,0,87,8,5,8,2,6
West Ham,Arsenal,home,0,88,12,19,12,16,-4
Arsenal,West Ham,away,3,88,19,12,16,12,4
Wigan,Aston Villa,home,0,89,8,17,8,14,-6
Aston Villa,Wigan,away,3,89,17,8,14,8,6
Newcastle,West Brom,home,3,90,9,10,6,10,-4
